ra,dec,bp_rp,phot_g_mean_mag,parallax,ebv
265.29747262971773,-53.67983819375143,1.0526829,17.981031,0.7216959901176508,
265.2907996845706,-53.68133045901494,0.9465847,17.897486,0.5446952866917162,
265.29456499530664,-53.68301875357027,0.28097248,13.303255,0.3924907538612635,
265.29966931206894,-53.67965950864129,0.99053574,15.591889,0.4139035822630588,
265.2896370325507,-53.67760568281511,0.96764183,15.673086,0.3205335896619072,
265.2906319197982,-53.6738753752803,0.84863377,16.339375,0.4136819976188671,
265.3089024243586,-53.67835120787748,0.9510956,17.538498,0.357012103295679,
265.31572629728515,-53.66875982920914,0.9368763,17.571661,0.435430103193325,
265.31148801697907,-53.66778104548179,1.2005653,18.196123,0.5783891636854369,
265.3141698277591,-53.661211880166,1.0782757,18.264107,0.6350487316148561,
265.3152478456337,-53.66599326407497,1.1883955,13.548716,0.4062158859731402,
265.29255420810387,-53.66808645249056,0.8590059,16.270597,0.4355371836500208,
265.2820108183128,-53.66640913139562,0.8846359,16.75432,0.3873042180698704,
265.2971892637933,-53.66483813848602,0.92002296,17.246841,0.3372451719379483,
265.28347119628825,-53.66920366829784,0.90033436,15.895795,0.4248088781864799,
265.30735691654746,-53.679396957949,1.1851616,18.668175,0.9613119591614512,
265.2954953481825,-53.671503862069805,1.1588745,19.279444,2.211106864805956,
265.29516257869886,-53.66683908774245,1.0544682,18.013977,0.527776560665619,
265.2993012668016,-53.66553158799895,1.3090401,19.002989,1.3285604207018125,
265.2932323597125,-53.66673042929628,0.9276829,17.43337,0.4246643741542535,
265.28882384061734,-53.66729554461234,0.8854866,17.422657,0.4521437521124605,
265.28352874991,-53.66339939654016,1.0256119,17.928122,0.6411450118524002,
265.2862134452057,-53.6603426099382,0.90519524,17.307678,0.4692697866628505,
265.2975455985129,-53.6744099331413,0.94018173,17.455109,0.4745804103873761,
265.3007415051797,-53.66951750316489,0.8619213,16.683048,0.3653359062732005,
265.2964584099121,-53.669472210389536,0.87540436,15.932171,0.4035796934797874,
265.287782552164,-53.66736333510099,0.8770914,15.992077,0.3918642242805578,
265.288722272962,-53.6624606377323,0.8745327,16.20569,0.2443909893380984,
265.2849669803236,-53.661547044346925,0.9800339,17.788574,0.5077780157146712,
265.29374401752494,-53.65981467601176,0.8614855,16.46798,0.4833695549499809,
265.3052897709727,-53.658732037748905,0.23537827,13.557208,0.4191472345621436,
265.2904639752554,-53.648715504794325,1.0128746,17.49118,0.4015568853053751,
265.2863275563265,-53.65635629720139,0.4286499,12.979039,0.3799757991007453,
265.29190384463465,-53.65173871079581,0.94860363,15.791826,0.2121242403472873,
265.3058161711069,-53.66529173400657,1.0019741,17.815948,0.4457445225615605,
265.3003641185634,-53.663406749695056,0.8893852,16.744223,0.3755622783759651,
265.30575032723925,-53.65735946376721,0.95539284,17.82418,0.4728687763440076,
265.2844863933633,-53.65638447236795,0.85361385,16.098314,0.2490267898548003,
265.2842827404041,-53.65546990092674,0.8856945,16.87496,0.6046716651494695,
265.288961941152,-53.650186818059225,0.9319439,17.36395,0.5425024096253714,
265.30460349458946,-53.66445922906605,0.91034126,15.828401,0.4063841622869263,
265.310897003121,-53.65814746495548,0.8985348,15.948751,0.327906155371952,
265.2926270768341,-53.660317068884176,0.888834,17.170494,0.4623178283023134,
265.2891852973079,-53.65652774505583,0.84662914,16.327787,0.3638912727748705,
265.2922393323008,-53.65395447076034,0.9777298,17.667568,0.4842439870057853,
