teff_gspphot,lum_flame,mass_flame,log_L,log_Teff
6216.374,1.177737,1.1524353,0.07104831914298258,3.79353713533759
6470.426,1.8233613,1.2412363,0.26087273286195717,3.8109328746963405
6161.219,11.240584,1.6273158,1.050788875413536,3.789666646027815
5842.5063,17.355227,1.8193004,1.2394302984570225,3.7665991893661492
5351.072,37.67552,2.3445811,1.5760592551889814,3.7284407945534603
5841.9546,0.53093195,0.9663444,-0.27496113924504045,3.7665581775868477
5746.5356,2.8169634,1.0771486,0.4497812043584046,3.7594061015174267
15007.246,275.63635,4.1148667,2.440336490316245,4.176301001587671
4529.9717,0.20301822,0.72891605,-0.6924649843016739,3.6560954888622295
5120.0483,2.4642432,1.019856,0.39168356680647287,3.7092740579142167
6059.1616,13.625197,1.6756583,1.1343427902436838,3.782412535439652
